,sentimentos,ID_tweet,data_tweet,termo_consultado,nome_usuario,texto_tweet
598956,0,2220417398,Thu Jun 18 03:01:24 PDT 2009,NO_QUERY,alyssa_z4,"Jogging, isnt REALLY that cool, especially if you've got a fever "
641394,0,2235236407,Fri Jun 19 00:44:31 PDT 2009,NO_QUERY,RickyDeHaas,@BabeNatasha yeah maths is so boring!!! Nope it was the last test before the exam 
113143,0,1825711053,Sun May 17 06:36:26 PDT 2009,NO_QUERY,kisioy,Is freezing this morning...        http://www.kisioy.com/
477622,0,2178277878,Mon Jun 15 07:27:48 PDT 2009,NO_QUERY,cailamurphy,Clouds are back.   But I'm looking forward to a fun day with my hubby at home!
1505206,4,2072317755,Sun Jun 07 20:47:48 PDT 2009,NO_QUERY,NinaCoolada22,Northside.....what what...taken x-rays for the broken 
105126,0,1822866537,Sat May 16 20:34:13 PDT 2009,NO_QUERY,kittiegoesrawr,wow. tattoo pain. and i feel like crap. 
1306925,4,2012133855,Tue Jun 02 20:07:30 PDT 2009,NO_QUERY,Alevesque,@GriffinClubMerv their bread is prebaked and frozen that's why all subs are toasted. Good choice on the 6&quot; spicy it was my lunch today 
479709,0,2178981576,Mon Jun 15 08:28:47 PDT 2009,NO_QUERY,MsFlipper,Dang! My new laptop doesn't fit the briefcase bag!! Gotta buy a new one 
1405094,4,2055135974,Sat Jun 06 08:45:55 PDT 2009,NO_QUERY,iiCrayons,much better  ilove that song ;D
811505,4,1470072119,Tue Apr 07 08:15:50 PDT 2009,NO_QUERY,Helen_Rooney,one more day until my 5 day weekend  all I have going on today is lunch with my grandparents then doing some homework later
779139,0,2322857471,Wed Jun 24 23:24:56 PDT 2009,NO_QUERY,NickyMcB,@sociaIIyawkward  I cant move on!!!  It is impossible!!  What do u mean growing up? lol
230972,0,1978861455,Sun May 31 00:43:34 PDT 2009,NO_QUERY,lauraAHchooo,@MeganThompson. I miss them too. 
1033812,4,1955872495,Thu May 28 20:46:17 PDT 2009,NO_QUERY,DayDreamerTeen,What am I most looking forward to right now? The fact that the first official New Moon trailer is going to be released on Sunday 
62780,0,1687246397,Sun May 03 08:10:36 PDT 2009,NO_QUERY,kirstyf1995,@iLoveWLT JB didn't go to the event 
1443555,4,2062136309,Sat Jun 06 22:25:32 PDT 2009,NO_QUERY,reifitaa960,@sharasandi just tweeting.......  
1563895,4,2187176486,Mon Jun 15 19:54:10 PDT 2009,NO_QUERY,shuggalipz,jus chillin wit da bestie &lt;courtney&gt; and not givin a fuk bout da rest 
541495,0,2200113316,Tue Jun 16 18:27:24 PDT 2009,NO_QUERY,TDKnuckle,still not tired but now everyone is off mns 
1393615,4,2053529402,Sat Jun 06 04:52:39 PDT 2009,NO_QUERY,miss_lakwatsera,miss you all today! 
493874,0,2184741041,Mon Jun 15 16:21:05 PDT 2009,NO_QUERY,fireproofed03,@hillarychaney haha that made me laugh. We need to see eachother. 
176025,0,1965096947,Fri May 29 15:19:38 PDT 2009,NO_QUERY,pseudoprime,@Rubios_BeachMex Can't DM you since you don't follow me.  
559066,0,2204895330,Wed Jun 17 03:25:08 PDT 2009,NO_QUERY,CassieFoxAXO,I feel so bad for my little baby she is so stuffed up and has the worst cough... She finally caught her cousin's cold 
586367,0,2215939883,Wed Jun 17 18:49:24 PDT 2009,NO_QUERY,vetenskapsman,is cleaning up his iTunes library in anticipation of being able to store 75% of his music on the 3GS :-D but has only made it to &quot;C&quot; 
1357327,4,2047967222,Fri Jun 05 14:27:22 PDT 2009,NO_QUERY,spacekdt1,@Eaw1987 paralell worlds. At the gym too 
792530,0,2326315538,Thu Jun 25 06:52:05 PDT 2009,NO_QUERY,apathyisafad,25$ only gets me half a tank. 
838269,4,1559036680,Sun Apr 19 10:05:06 PDT 2009,NO_QUERY,softballgirly12,watching the prince and me 
1412809,4,2056733442,Sat Jun 06 11:41:34 PDT 2009,NO_QUERY,LindsDesiree,http://bit.ly/oSc03  destination in 3-d?! i'm soo there! 
654329,0,2239366954,Fri Jun 19 08:27:23 PDT 2009,NO_QUERY,ainhd,"@Shaleyah You're welcome and thank YOU! BTW, I didn't realize it was a 12-week tour  Too long, sis, too long. But make the most of it!"
1312627,4,2013681664,Tue Jun 02 23:17:29 PDT 2009,NO_QUERY,biatchillicious,80's music + rainy weather = i love. 
435410,0,2065417946,Sun Jun 07 08:33:15 PDT 2009,NO_QUERY,omgstephanie,This is going to be a LONG 6 hours 
708695,0,2257379823,Sat Jun 20 14:14:42 PDT 2009,NO_QUERY,Difegue,feeling dizzy since lunch. Man I haven't even been on a videogame rampage or anything  Better go to bed before my mind goes dakota
389433,0,2054454345,Sat Jun 06 07:23:19 PDT 2009,NO_QUERY,tynie626,@Diligent1 ahhh that's not cool  sorry to hear it
1330802,4,2015875499,Wed Jun 03 05:42:36 PDT 2009,NO_QUERY,amykayclark,@YourNHRealtor You will need to shorten it probably...go to tinyurl.com. It will create a shorter link. Then you just paste it here. 
412202,0,2060292129,Sat Jun 06 18:37:51 PDT 2009,NO_QUERY,xxkiwibrandiexx,"found out i dont have cancer, but i am anemic. "
400637,0,2057460504,Sat Jun 06 13:02:48 PDT 2009,NO_QUERY,eddie_cruz,@Kathrynnaomi they didn't come out as well as I expected.  they shrink a lot though.
369826,0,2049978645,Fri Jun 05 17:50:43 PDT 2009,NO_QUERY,inashlalaland,"im TIRED of all of that SHET.im tired, n i fell like i can't go on!  when happen this ? when did you do this to me? i wasn't that person "
394008,0,2055533594,Sat Jun 06 09:29:35 PDT 2009,NO_QUERY,michalbr,help i'm playing sims 3 all day 
160149,0,1957002082,Thu May 28 23:14:52 PDT 2009,NO_QUERY,V0NST3V3,"Last day working for the Uni today, sad times "
416821,0,2061389856,Sat Jun 06 20:46:05 PDT 2009,NO_QUERY,SavieHaircore,@Scootamazing  i will throw a poptart at you! haha
265101,0,1988733442,Sun May 31 23:12:57 PDT 2009,NO_QUERY,Hibippytea,"@1cutechicwitfm  A friend of mine said those words earlier and I am just passing it along , she was not too happy either "
1265652,4,1999485475,Mon Jun 01 20:18:03 PDT 2009,NO_QUERY,walkdesign,"@scottydigital @TheRealTMR  Matt, you should wear a Yellow Zig Zag shirt when you throw out the pitch! "
872520,4,1679041328,Sat May 02 08:23:22 PDT 2009,NO_QUERY,magicfm,@Kimmydavies excellent - on an ice cream break at the moment - will forward more details later 
198341,0,1971198023,Sat May 30 06:29:24 PDT 2009,NO_QUERY,mercydrummer,@audreyawesome we are on the way now   it's like a 5 hour drive though. 
80615,0,1752401677,Sat May 09 21:49:29 PDT 2009,NO_QUERY,hypesis,Station 9 was jumping tonight!  So sad I had to leave!!!  
664564,0,2244535868,Fri Jun 19 14:52:34 PDT 2009,NO_QUERY,ohhhbabyyy,@CyroSofi awe i'm sorry love! what's wrong? 
47244,0,1677590663,Sat May 02 02:55:03 PDT 2009,NO_QUERY,shoberzz,@gkyla Twitter said my picture is too big. 
